'Applied Mathematics',1,1,241L
'Applied Mathematics',1,1,242L
'Applied Mathematics',1,1,343L
'Applied Mathematics',1,1,210L
'Applied Mathematics',1,1,310L
'Applied Mathematics',1,1,321L
'Applied Mathematics',1,1,330L
'Applied Mathematics',1,1,420L
'Applied Mathematics',1,1,422L
'Applied Mathematics',1,1,477L
'Applied Mathematics',1,2,120L
'Applied Mathematics',1,3,211L
'Applied Mathematics',1,3,213L
'Applied Mathematics',1,3,212L
'Applied Mathematics',1,3,214L
'Applied Mathematics',1,3,221L
'Applied Mathematics',1,3,222L
'Applied Mathematics',1,4,131L
'Applied Mathematics',1,4,132L
'Applied Mathematics',1,5,130L
'Applied Mathematics',1,5,131L
'Applied Mathematics',1,2,220L
'Applied Mathematics',1,2,435L
'Applied Mathematics',1,2,404L
'Applied Mathematics',1,2,446L
'Applied Mathematics',1,1,205L
